iter	MultiClass
0	1.537339362
1	1.485228143
2	1.438075888
3	1.389775351
4	1.34325175
5	1.311739062
6	1.276740006
7	1.236038244
8	1.202668335
9	1.172624571
10	1.13757932
11	1.112132402
12	1.084839296
13	1.058788284
14	1.031055431
15	1.012501794
16	0.9848025442
17	0.9643307398
18	0.9438125906
19	0.9239461719
20	0.9050876758
21	0.8869463868
22	0.8670576239
23	0.8518518681
24	0.835273679
25	0.8203253454
26	0.8070737356
27	0.7905559575
28	0.7753874663
29	0.7582008919
30	0.7441626885
31	0.7306885313
32	0.7167925098
33	0.7073462968
34	0.6934580201
35	0.6826044324
36	0.672097926
37	0.6642631537
38	0.6547982041
39	0.6457671102
40	0.6359718289
41	0.6261770971
42	0.616454122
43	0.6076553929
44	0.6002686953
45	0.5921752609
46	0.5841711735
47	0.5746018184
48	0.56651873
49	0.5581182014
50	0.5509249226
51	0.5436543485
52	0.5349691448
53	0.5271667297
54	0.5206128283
55	0.5145527592
56	0.5086203132
57	0.5014708776
58	0.4935612876
59	0.4884499643
60	0.4835340865
61	0.4782330513
62	0.4739699333
63	0.4669634459
64	0.4610735402
65	0.4550149678
66	0.4503968927
67	0.4455012486
68	0.4412103948
69	0.4357642816
70	0.4300292011
71	0.4242799945
72	0.4171194396
73	0.4121683487
74	0.4059790422
75	0.4001052835
76	0.3934006387
77	0.3897136009
78	0.3839763955
79	0.3791089484
80	0.3745165441
81	0.3707882706
82	0.366216632
83	0.3623288231
84	0.357509303
85	0.354032428
86	0.3497829172
87	0.3468207584
88	0.3435060913
89	0.3401792855
90	0.3366116757
91	0.332038159
92	0.3272781634
93	0.3257398801
94	0.3230117302
95	0.3200107569
96	0.3165447355
97	0.3129248641
98	0.3099600675
99	0.3066554354
100	0.3028374901
101	0.2991538558
102	0.2953833148
103	0.2920882328
104	0.2892491362
105	0.2862100958
106	0.2830804582
107	0.2803965649
108	0.2770120476
109	0.273997119
110	0.2723548255
111	0.2698076112
112	0.266690979
113	0.2644020928
114	0.2615858017
115	0.2588047738
116	0.2560316316
117	0.2538444302
118	0.2507956698
119	0.248676227
120	0.2463552315
121	0.2447039708
122	0.2426870219
123	0.2403214581
124	0.2388092832
125	0.2366899426
126	0.2351686051
127	0.2332376964
128	0.2306927565
129	0.2285856698
130	0.2274113647
131	0.2253813173
132	0.2241834771
133	0.2223795422
134	0.2203624566
135	0.2190302212
136	0.2171188603
137	0.215246281
138	0.2130550335
139	0.2116659018
140	0.210107734
141	0.2087315838
142	0.2073409702
143	0.2068655284
144	0.2064558803
145	0.2054139142
146	0.2037360248
147	0.2031953649
148	0.2017514546
149	0.2002350737
150	0.1989976635
151	0.1985185124
152	0.1972456921
153	0.1969024502
154	0.1948703489
155	0.1935372121
156	0.1927912406
157	0.1910401402
158	0.1897152268
159	0.189339912
160	0.1883962052
161	0.187513462
162	0.1862714136
163	0.1844612514
164	0.1835967069
165	0.1825662305
166	0.1811747512
167	0.1808935849
168	0.1795379957
169	0.1781702524
170	0.1763944754
171	0.1760597968
172	0.174482586
173	0.1728568561
174	0.1709384716
175	0.1696866846
176	0.1680781085
177	0.1678266836
178	0.166637025
179	0.1651556426
180	0.1636116681
181	0.1625265429
182	0.1622577543
183	0.1615627318
184	0.1604809824
185	0.1592919164
186	0.1582249164
187	0.157340454
188	0.1568431147
189	0.1558440724
190	0.1548550738
191	0.1535919157
192	0.1529792941
193	0.1517123068
194	0.1507686747
195	0.1502469006
196	0.1491211076
197	0.1485695881
198	0.1477423881
199	0.1467396933
200	0.1460573566
201	0.1451846496
202	0.1445559403
203	0.1434880843
204	0.1426932006
205	0.1415142182
206	0.1407657576
207	0.1398295333
208	0.138619861
209	0.1377594626
210	0.1374946738
211	0.1369099256
212	0.136035847
213	0.1349742436
214	0.1340345456
215	0.1332036171
216	0.1324262331
217	0.1320431745
218	0.1315113898
219	0.1303750364
220	0.1296737086
221	0.1290475995
222	0.1281949149
223	0.1272623374
224	0.1264859837
225	0.1258701428
226	0.1254782253
227	0.124719497
228	0.1245525554
229	0.1237805854
230	0.1231537807
231	0.1229981378
232	0.1223877749
233	0.1216521597
234	0.1209065739
235	0.1206716783
236	0.1200799005
237	0.1196760713
238	0.1194317867
239	0.1190458693
240	0.1187618073
241	0.1180731448
242	0.1175534522
243	0.117131344
244	0.1167420011
245	0.1162436546
246	0.1161092171
247	0.1157566742
248	0.1151597324
249	0.1143955518
250	0.1142742545
251	0.1135360886
252	0.1133414635
253	0.1130222817
254	0.1126529106
255	0.1118645684
256	0.1112729088
257	0.1107411703
258	0.1105714137
259	0.1099850812
260	0.1097705926
261	0.1095692966
262	0.1093657306
263	0.1086380987
264	0.1084341883
265	0.1082252477
266	0.1081011878
267	0.1075974464
268	0.1070468662
269	0.1061041591
270	0.1054635457
271	0.1049542321
272	0.1042415861
273	0.1036823003
274	0.1033844595
275	0.1030528987
276	0.1025377924
277	0.101889081
278	0.1015647871
279	0.1014116439
280	0.1012308332
281	0.100790113
282	0.1003390613
283	0.1001330898
284	0.09967851406
285	0.09944104769
286	0.09913934174
287	0.09883736062
288	0.09834574318
289	0.09797603903
290	0.09760339701
291	0.09746628146
292	0.09703289592
293	0.09657694688
294	0.09595626981
295	0.09551331603
296	0.0950497416
297	0.09443108358
298	0.09431029179
299	0.09399564542
300	0.09386411098
301	0.09375737769
302	0.09361077112
303	0.09327282239
304	0.09288619796
305	0.09210684612
306	0.09177346403
307	0.09125407725
308	0.09108945938
309	0.09075025266
310	0.09030866855
311	0.08984318622
312	0.08940124734
313	0.08931049964
314	0.08901188858
315	0.08867656817
316	0.08849886241
317	0.08805029808
318	0.08772057402
319	0.08726526955
320	0.08697816977
321	0.08681019785
322	0.08641675924
323	0.08587850157
324	0.085631663
325	0.08550812222
326	0.08500222701
327	0.08464198902
328	0.08447920086
329	0.08408086422
330	0.08384177705
331	0.08342863822
332	0.08307341973
333	0.08262047712
334	0.08223847063
335	0.08210044365
336	0.08177820035
337	0.08134776102
338	0.0812510787
339	0.08114544201
340	0.08058732084
341	0.0800508962
342	0.07966484867
343	0.07923651762
344	0.07900726298
345	0.0787343317
346	0.0785819809
347	0.07826087481
348	0.07794775398
349	0.07779257294
350	0.07747639466
351	0.07741157927
352	0.07710046102
353	0.07698570329
354	0.07666278415
355	0.0764516843
356	0.07622827934
357	0.07611312004
358	0.07599624433
359	0.075823091
360	0.07550631918
361	0.07538133841
362	0.07514815534
363	0.07494163941
364	0.07474739187
365	0.07459220647
366	0.07424034824
367	0.07401360937
368	0.0735242279
369	0.07328183384
370	0.07299393703
371	0.07279968308
372	0.07254528913
373	0.0724456704
374	0.0723672164
375	0.07206621978
376	0.07192726705
377	0.07171770954
378	0.07143262918
379	0.07132828304
380	0.07121330381
381	0.07097140812
382	0.07089016261
383	0.07054789
384	0.07017766512
385	0.06985695374
386	0.06969945578
387	0.06964779449
388	0.06934437661
389	0.06908416715
390	0.06892766591
391	0.06870467433
392	0.06839480422
393	0.06833022837
394	0.06800945533
395	0.06783779855
396	0.06763559145
397	0.06747016259
398	0.06718874792
399	0.06694289425
400	0.06666005612
401	0.06656783766
402	0.06649318754
403	0.06643500677
404	0.06624140865
405	0.06594442851
406	0.06564115703
407	0.06544049669
408	0.06526711567
409	0.06497088993
410	0.06480258545
411	0.06453512095
412	0.06425509946
413	0.0642022892
414	0.06411919794
415	0.06386744665
416	0.0637682703
417	0.06345227325
418	0.06327065398
419	0.06318667953
420	0.06294226169
421	0.06287792624
422	0.06263064621
423	0.06255160547
424	0.06248910267
425	0.06240634989
426	0.0623645113
427	0.06203325305
428	0.06187531942
429	0.06153014987
430	0.06131076721
431	0.06121657814
432	0.06111331642
433	0.06087075678
434	0.06062538205
435	0.06055108886
436	0.06044178407
437	0.06013533177
438	0.0598138497
439	0.05962071211
440	0.0593518638
441	0.05909085237
442	0.05895079234
443	0.05876957772
444	0.05869113441
445	0.0586020641
446	0.05837915245
447	0.05815532382
448	0.05787966113
449	0.05779080003
450	0.05751868584
451	0.05738543073
452	0.05714146903
453	0.05709129463
454	0.05702697373
455	0.05689709638
456	0.0566947179
457	0.05639099974
458	0.05625169635
459	0.05618835787
460	0.05605085832
461	0.05585357497
462	0.05560904917
463	0.05543698656
464	0.05539720632
465	0.05523508314
466	0.05501839455
467	0.05479616095
468	0.05463542331
469	0.05444064215
470	0.05424450424
471	0.05408541661
472	0.05389158884
473	0.05368739889
474	0.05359044558
475	0.05340885422
476	0.0531585058
477	0.05311179949
478	0.05305351454
479	0.05288724996
480	0.05274611506
481	0.05258895961
482	0.05240717828
483	0.05223006014
484	0.05204355716
485	0.0518390746
486	0.05177243301
487	0.05174099978
488	0.05155246881
489	0.05140527569
490	0.05132699853
491	0.05118145624
492	0.0510646506
493	0.05092973772
494	0.05078261272
495	0.05064172101
496	0.05040924952
497	0.05021997876
498	0.0500857863
499	0.04996638306
500	0.0497674895
501	0.04958031552
502	0.04947706777
503	0.04933812157
504	0.04925430189
505	0.04921700081
506	0.04917152603
507	0.04904415443
508	0.04893216384
509	0.04880513299
510	0.04867346794
511	0.04846181852
512	0.04843473236
513	0.04824634119
514	0.04806822396
515	0.04787749808
516	0.04771872873
517	0.04760395173
518	0.0475646101
519	0.04741032135
520	0.04737250534
521	0.04721262515
522	0.04716166866
523	0.04701264465
524	0.04682747013
525	0.04664947849
526	0.046551941
527	0.0463867366
528	0.04620001466
529	0.04604073914
530	0.04591582036
531	0.04588600522
532	0.04576960444
533	0.04567343301
534	0.0456457359
535	0.04544896796
536	0.04541301278
537	0.04532746757
538	0.04517614173
539	0.04506579041
540	0.04502195921
541	0.04486947409
542	0.04469285826
543	0.04457837101
544	0.04444661033
545	0.04440918718
546	0.04433637702
547	0.04423319783
548	0.04417606152
549	0.04399360845
550	0.04392942098
551	0.04373177631
552	0.04354841107
553	0.04352131229
554	0.04339589842
555	0.04335961797
556	0.04320537864
557	0.04308387938
558	0.04299159402
559	0.04283216328
560	0.04273565688
561	0.04265497991
562	0.04262940321
563	0.04256373339
564	0.04244144693
565	0.04241252582
566	0.04233544254
567	0.04225296242
568	0.04222383279
569	0.04207208758
570	0.04194640279
571	0.04184425008
572	0.04176330673
573	0.0416640904
574	0.04152612851
575	0.04147005667
576	0.0414262513
577	0.04132473099
578	0.04117710208
579	0.04106977634
580	0.04096505483
581	0.04095233827
582	0.04081302579
583	0.04073115682
584	0.04068280994
585	0.04065622438
586	0.04055584363
587	0.04043373694
588	0.04030846267
589	0.04023142073
590	0.0402000221
591	0.04012447861
592	0.04004188453
593	0.03995946295
594	0.0398570903
595	0.03974145575
596	0.03965048389
597	0.03955250782
598	0.03944919384
599	0.03934559047
600	0.03929657659
601	0.03922886543
602	0.03914126145
603	0.03909513121
604	0.03891183606
605	0.0388803288
606	0.03885119454
607	0.03880818488
608	0.03878942507
609	0.03871546835
610	0.03861950772
611	0.03854744026
612	0.03846873122
613	0.03838528502
614	0.03831103225
615	0.03820822606
616	0.03816396562
617	0.03804336994
618	0.03794187093
619	0.03790490911
620	0.03788385194
621	0.03781146427
622	0.03770645736
623	0.03766058168
624	0.03756734388
625	0.0375224939
626	0.03744656574
627	0.0373265834
628	0.03723973423
629	0.03719296738
630	0.03710537519
631	0.03706211828
632	0.03699234087
633	0.03686739006
634	0.03681893414
635	0.03674834355
636	0.03663879459
637	0.03658964058
638	0.0365366839
639	0.03643474315
640	0.03633405885
641	0.03627424954
642	0.03617666523
643	0.03609498649
644	0.03600507135
645	0.03596938315
646	0.03594946023
647	0.03592563878
648	0.03590562334
649	0.03587328179
650	0.03578734049
651	0.03568120251
652	0.03562578981
653	0.03559532805
654	0.03551861314
655	0.03547082636
656	0.03545424001
657	0.03538474434
658	0.03530570126
659	0.03517965338
660	0.03505646216
661	0.03496622
662	0.03488673436
663	0.03478019449
664	0.03469955026
665	0.03457233502
666	0.03453169402
667	0.03449762399
668	0.03439902297
669	0.03437961841
670	0.03436554325
671	0.03433129015
672	0.03429094347
673	0.03423851208
674	0.03420013222
675	0.03414099455
676	0.03412404546
677	0.03404504212
678	0.03400789551
679	0.03394653437
680	0.0338303597
681	0.03375090865
682	0.03366713842
683	0.03359105718
684	0.03350723474
