iter	Passed	Remaining
0	10	1038
1	20	984
2	29	947
3	38	925
4	48	917
5	57	896
6	66	888
7	76	874
8	84	859
9	94	848
10	103	836
11	112	826
12	121	816
13	131	805
14	140	795
15	149	785
16	158	775
17	167	765
18	177	757
19	186	747
20	196	737
21	205	727
22	214	719
23	224	711
24	234	702
25	243	693
26	253	684
27	262	675
28	272	667
29	281	657
30	291	648
31	300	638
32	309	629
33	319	619
34	328	610
35	338	601
36	347	591
37	357	583
38	366	573
39	376	564
40	385	554
41	395	545
42	405	536
43	415	528
44	424	519
45	433	509
46	443	499
47	451	489
48	460	479
49	469	469
50	478	459
51	487	449
52	496	439
53	505	430
54	514	420
55	523	411
56	532	401
57	541	391
58	549	381
59	558	372
60	566	362
61	575	352
62	583	342
63	592	333
64	600	323
65	610	314
66	619	304
67	627	295
68	636	285
69	645	276
70	654	267
71	662	257
72	670	248
73	679	238
74	687	229
75	695	219
76	703	210
77	712	200
78	721	191
79	729	182
80	738	173
81	746	163
82	755	154
83	764	145
84	773	136
85	782	127
86	792	118
87	801	109
88	810	100
89	818	90
90	827	81
91	835	72
92	845	63
93	854	54
94	863	45
95	872	36
96	881	27
97	890	18
98	899	9
99	908	0
